对比部分,对比内容,对比细节,Python,Java,JavaScript,Dart,R语言
,,,解释语言,编译语言,,,
,,大小写敏感,是,是,,,
,,进入交互命令后,python,jshell,node,,
整体特点,,是否基于赋值来变化数据类型,,,弱数据类型,,
整体特点,,语法的轻微错误是否引起错误,,强语法,弱语法,,
整体特点,,,动态类型,静态类型,,,
书写,后缀,,.py,.java,.js,.dart,.R
书写,代码段表示,,冒号和缩进,,花括号,花括号,花括号
书写,注释,单行注释,#,//,//,//,#
书写,注释,多行注释,'''''',/* */,,,
书写,注释,文档注释,,/** */,,,
数据类型,字符串,声明字符串,"value = ""string""","String value = ""string""","var value = ""string""",,
数据类型,字符串,获得字符串的长度,len(value),value.length(),value.length,,
数据类型,字符串,字符串的大写化,value.upper(),value.toUpperCase(),value.toUpperCase(),,
数据类型,字符串,索引,value.index(s),value.indexOf(s),value.indexOf(s),,
数据类型,字符串,格式化,value.format(key=value),"String.format(pattern, value)",,,
数据类型,字符串,选择局部,value[1:3],"value.substring(1,3)","value.slice(1,3)",,
数据结构,布尔值,,"True,False","true,false","true,false","true,false","TRUE,FALSE"
数据计算,运算符,完全相等的判断,==,==,===,==,==
数据计算,运算符,且判断,and,&&,&&,&&,&
数据计算,运算符,或判断,or,||,||,||,|
数据计算,运算符,非判断,not,!,!,,
数据计算,运算符,取整数相除的精确解,a/b,a*1.0/b,,,
数据计算,运算符,取整数相除的商,a//b,a/b,,,
数据计算,运算符,取整数相除的余数,a%b,a%b,,,
数据计算,运算符,三元表达式/三目运算符,a if x else b,x?a:b,x?a:b,x?a:b,
数据计算,数据转化,字符转化为数字,int(a),Integer.parseInt(a),parseInt(a),int.parse(a),as.numeric(a)
数据计算,数据转化,数字转化为字符,str(b),Integer.toString(b),b.toString(),b.toString(),as.numeric(b)
数据结构,字典,对象/字典定义中的键设置,必须使用不可变的实际值作为键,,可以直接使用变量名作为键,,
数据结构,索引起始序号,,从零开始,,从零开始,从零开始,从1开始
